taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	nomenclaturalCode
8194314	52a423d2-0486-4e77-bcee-6350d708d6ff	4896427	7462518	7462518	Halogeometricum limi	"Qiu et al., 2013 (Cui et al., 2010)"	Halogeometricum limi	Halogeometricum	limi		species		Int. J. Syst. Evol. Microbiol. 63::3917	homotypic synonym		"Originally found in sources as accepted taxon within Halogeometricum Montalvo-Rodríguez et al., 1998"	BC
3808	7ddf754f-d193-4cc9-b351-99906754a03b	1196			Thermococcaceae		Thermococcaceae	Thermococcaceae			family			accepted			BC
1000326	7ddf754f-d193-4cc9-b351-99906754a03b	7791			Methanococcoides	"Sowers & Ferry, 1985"	Methanococcoides	Methanococcoides			genus		Int. J. Syst. Bacteriol. 35::223	accepted			BC
1000097	7ddf754f-d193-4cc9-b351-99906754a03b	1000122	1000125		Methanobacterium thermoformicicum	"Zhilina & Ilarionov, 1986"	Methanobacterium thermoformicicum	Methanobacterium	thermoformicicum		species		Int. J. Syst. Bacteriol. 36::489	synonym			BC
7780449	52a423d2-0486-4e77-bcee-6350d708d6ff	1000122	1000125		Methanobacterium thermoalcaliphilum	"Blotevogel et al., 1988"	Methanobacterium thermoalcaliphilum	Methanobacterium	thermoalcaliphilum		species		Int. J. Syst. Bacteriol. 38::220	synonym			BC
7717720	52a423d2-0486-4e77-bcee-6350d708d6ff	1000122	1000125		Methanobacterium thermoautotrophicum	"Zeikus & Wolfe, 1972"	Methanobacterium thermoautotrophicum	Methanobacterium	thermoautotrophicum		species		Int. J. Syst. Bacteriol. 30::318	synonym			BC
4896423	7ddf754f-d193-4cc9-b351-99906754a03b	1000122	1000125		Methanobacterium thermautotrophicum	"Zeikus & Wolfe, 1972"	Methanobacterium thermautotrophicum	Methanobacterium	thermautotrophicum		species		Int. J. Syst. Bacteriol. 30::318	synonym			BC
8216368	7ddf754f-d193-4cc9-b351-99906754a03b	1000122	1000125		Methanobacterium thermalcaliphilum	"Blotevogel et al., 1988"	Methanobacterium thermalcaliphilum	Methanobacterium	thermalcaliphilum		species		Int. J. Syst. Bacteriol. 38::220	synonym			BC
1000333	7ddf754f-d193-4cc9-b351-99906754a03b	7791			Methanosarcina	"Kluyver & van Niel, 1936"	Methanosarcina	Methanosarcina			genus		Int. J. Syst. Bacteriol. 30::318	accepted			BC
1000348	7ddf754f-d193-4cc9-b351-99906754a03b	7791			Methanohalobium	"Zhilina & Zavarzin, 1988"	Methanohalobium	Methanohalobium			genus		Int. J. Syst. Bacteriol. 38::136	accepted			BC
8939873	52a423d2-0486-4e77-bcee-6350d708d6ff	9308266			Cuniculiplasma	"Golyshina et al., 2016"	Cuniculiplasma	Cuniculiplasma			genus		Int. J. Syst. Evol. Microbiol. 66::338	accepted			BC
7554442	52a423d2-0486-4e77-bcee-6350d708d6ff	9598310			Salinarchaeum	"Cui et al., 2014"	Salinarchaeum	Salinarchaeum			genus		Int. J. Syst. Evol. Microbiol. 64::2	accepted			BC
1000360	7ddf754f-d193-4cc9-b351-99906754a03b	7791			Methanimicrococcus	"Sprenger et al., 2000"	Methanimicrococcus	Methanimicrococcus			genus		Int. J. Syst. Evol. Microbiol. 50::1998	accepted			BC
1000350	7ddf754f-d193-4cc9-b351-99906754a03b	7791			Methanolobus	"König & Stetter, 1983"	Methanolobus	Methanolobus			genus		Int. J. Syst. Bacteriol. 33::439	accepted			BC
7874299	52a423d2-0486-4e77-bcee-6350d708d6ff	1000195			Haloferax chudinovii	"Saralov et al., 2014"	Haloferax chudinovii	Haloferax	chudinovii		species		Int. J. Syst. Evol. Microbiol. 64::2	accepted			BC
1000200	7ddf754f-d193-4cc9-b351-99906754a03b	1000195			Haloferax sulfurifontis	"Elshahed et al., 2004"	Haloferax sulfurifontis	Haloferax	sulfurifontis		species		Int. J. Syst. Evol. Microbiol. 54::2278	accepted			BC
